# Tile Map Data
# Format: TileName X Y
TileCount=105

CaveFloor_0 17 10
CaveFloor_0 17 11
CaveFloor_0 17 12
CaveFloor_0 17 13
CaveFloor_0 17 14
CaveFloor_0 17 15
CaveFloor_0 17 16
CaveFloor_0 18 10
CaveFloor_0 18 11
CaveFloor_0 18 12
CaveFloor_0 18 13
CaveFloor_0 18 14
CaveFloor_0 18 15
CaveFloor_0 18 16
CaveFloor_0 19 10
CaveFloor_0 19 11
CaveFloor_0 19 12
CaveFloor_0 19 13
CaveFloor_0 19 14
CaveFloor_0 19 15
CaveFloor_0 19 16
CaveFloor_0 20 10
CaveFloor_0 20 11
CaveFloor_0 20 12
CaveFloor_0 20 13
CaveFloor_0 20 14
CaveFloor_0 20 15
CaveFloor_0 20 16
CaveFloor_0 21 10
CaveFloor_0 21 11
CaveFloor_0 21 12
CaveFloor_0 21 13
CaveFloor_0 21 14
CaveFloor_0 21 15
CaveFloor_0 21 16
CaveFloor_0 22 10
CaveFloor_0 22 11
CaveFloor_0 22 12
CaveFloor_0 22 13
CaveFloor_0 22 14
CaveFloor_0 22 15
CaveFloor_0 22 16
CaveFloor_0 23 10
CaveFloor_0 23 11
CaveFloor_0 23 12
CaveFloor_0 23 13
CaveFloor_0 23 14
CaveFloor_0 23 15
CaveFloor_0 23 16
CaveFloor_0 24 10
CaveFloor_0 24 11
CaveFloor_0 24 12
CaveFloor_0 24 13
CaveFloor_0 24 14
CaveFloor_0 24 15
CaveFloor_0 24 16
CaveFloor_0 25 10
CaveFloor_0 25 11
CaveFloor_0 25 12
CaveFloor_0 25 13
CaveFloor_0 25 14
CaveFloor_0 25 15
CaveFloor_0 25 16
CaveFloor_0 26 10
CaveFloor_0 26 11
CaveFloor_0 26 12
CaveFloor_0 26 13
CaveFloor_0 26 14
CaveFloor_0 26 15
CaveFloor_0 26 16
CaveFloor_0 27 10
CaveFloor_0 27 11
CaveFloor_0 27 12
CaveFloor_0 27 13
CaveFloor_0 27 14
CaveFloor_0 27 15
CaveFloor_0 27 16
CaveFloor_0 28 10
CaveFloor_0 28 11
CaveFloor_0 28 12
CaveFloor_0 28 13
CaveFloor_0 28 14
CaveFloor_0 28 15
CaveFloor_0 28 16
CaveFloor_0 29 10
CaveFloor_0 29 11
CaveFloor_0 29 12
CaveFloor_0 29 13
CaveFloor_0 29 14
CaveFloor_0 29 15
CaveFloor_0 29 16
CaveFloor_0 30 10
CaveFloor_0 30 11
CaveFloor_0 30 12
CaveFloor_0 30 13
CaveFloor_0 30 14
CaveFloor_0 30 15
CaveFloor_0 30 16
CaveFloor_0 31 10
CaveFloor_0 31 11
CaveFloor_0 31 12
CaveFloor_0 31 13
CaveFloor_0 31 14
CaveFloor_0 31 15
CaveFloor_0 31 16
